calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,mfr_G,mfr_K,mfr_N,mfr_P,mfr_Q,mfr_R,type_H,rating
0.036594058071591745,0.33088765685995725,0.21254877462946667,0.05089365951126472,0.4586233006912047,0.2686089549740952,0.0814399579379582,0.5026030543435396,0.01883855790383243,0.3089293534225957,0.25716014252709973,0.37115375801482114,False,False,True,False,False,False,False,68.402973
0.5711420239540752,0.04536717472928076,0.2491432257870418,0.30468418509973455,0.20102931082510078,0.17566042658159703,0.3648439135103726,0.07034499441229801,0.30057387448235007,0.0651144331848871,0.4489620557349561,0.10655265676233333,False,False,False,False,True,False,False,33.983679
0.07792701701208192,0.3264052991150255,0.2912743394174788,0.3431078989745615,0.1739118201374043,0.5130023612684281,0.4953378415053681,0.13045958853680156,0.3275625392208598,0.0005459324817971047,0.12202958634232533,0.08269479537768573,False,True,False,False,False,False,False,59.425505
0.16403181414209272,0.2812649306276383,0.12432440430029278,0.1689155685733014,0.07529531995065018,0.07130548080724843,0.016032842640582662,0.11270839942835545,0.5947984672824445,0.667702679248154,0.16039622432887435,0.030683064662625208,False,True,False,False,False,False,False,93.704912
0.1866674863307326,0.3721335519863846,0.5974218559686791,0.29234438406155655,0.22965330233302922,0.1918298454874175,0.3603707148446925,0.12488798288365222,0.1055817387163186,0.26548547659342003,0.2329048273957424,0.11582601787301272,False,False,False,False,False,True,False,29.509541
0.19680599950952904,0.1768222881136683,0.2998223063672595,0.4620051619972437,0.08463524567085573,0.44625739468928927,0.061289122002960696,0.06849928720706829,0.2799492706523985,0.1332681369843149,0.3165441378567525,0.4642947493154061,True,False,False,False,False,False,False,33.174094
0.06227641607277188,0.2606474632291616,0.24777790457914106,0.6082694217642842,0.09566784212179122,0.026961695876379685,0.1868432357881772,0.14745453404840198,0.1680335856244595,0.12416229072314047,0.1868255423776502,0.5930523766161933,False,True,False,False,False,False,False,37.038562
0.004881877724314723,0.4186100959710248,0.0541287040139663,0.167525462068853,0.21824044610609183,0.1720487509823782,0.0677934099946246,0.26566654055438843,0.46053735707733523,0.4160130948435744,0.07655061935465732,0.5003210827785434,True,False,False,False,False,False,False,49.120253
0.04322527150055602,0.5183970985374972,0.4380478494762524,0.24733650004387242,0.2580820832276292,0.13579644477107594,0.25119856218842723,0.18654960013555136,0.33776982298046054,0.41549963948851004,0.06799619087920361,0.04510397642811119,False,False,False,False,False,True,False,53.313813
0.4958432265745093,0.0195646109078908,0.14794954112542563,0.005455636270925199,0.2928319625980007,0.24390006120799784,0.24741323886587432,0.18598733819481972,0.05195262818856597,0.04708604228028675,0.69272031524876,0.07757502788293123,False,False,False,True,False,False,False,18.042851
0.1913085962081133,0.015427085113487754,0.0039240070720006,0.008248547720576805,0.6377270999873051,0.1489872222398462,0.12803301949133278,0.7066133869370732,0.03626337433105851,0.050988467200475576,0.1065402748288397,0.05679722085750974,False,False,False,False,True,False,False,50.764999
0.5269451226761178,0.1432740805305548,0.2598709183006593,0.008846347644127006,0.19390567652064397,0.5121909655846745,0.5484556412978148,0.1772389096851593,0.0163223427186346,0.01768122029333584,0.02528215075540674,0.028561752921155696,True,False,False,False,False,False,False,19.823573
,,,,,,,,,,,,True,False,False,False,False,False,False,40.400208
,,,,,,,,,,,,True,False,False,False,False,False,False,22.736446
,,,,,,,,,,,,True,False,False,False,False,False,False,41.445019
,,,,,,,,,,,,False,False,False,False,False,True,False,45.863324
,,,,,,,,,,,,False,True,False,False,False,False,False,35.782791
,,,,,,,,,,,,False,True,False,False,False,False,False,22.396513
,,,,,,,,,,,,True,False,False,False,False,False,False,40.448772
,,,,,,,,,,,,False,True,False,False,False,False,False,46.895644
,,,,,,,,,,,,False,False,True,False,False,False,True,36.176196
,,,,,,,,,,,,False,True,False,False,False,False,False,44.330856
,,,,,,,,,,,,True,False,False,False,False,False,False,32.207582
,,,,,,,,,,,,False,False,False,False,False,True,False,31.435973
,,,,,,,,,,,,False,True,False,False,False,False,False,58.345141
,,,,,,,,,,,,False,True,False,False,False,False,False,40.917047
,,,,,,,,,,,,False,True,False,False,False,False,False,41.015492
,,,,,,,,,,,,False,False,False,True,False,False,False,28.025765
,,,,,,,,,,,,False,True,False,False,False,False,False,35.252444
,,,,,,,,,,,,False,False,False,True,False,False,False,23.804043
,,,,,,,,,,,,False,False,False,True,False,False,False,52.076897
,,,,,,,,,,,,True,False,False,False,False,False,False,53.371007
,,,,,,,,,,,,False,False,False,True,False,False,False,45.811716
,,,,,,,,,,,,False,False,False,True,False,False,False,21.871292
,,,,,,,,,,,,False,False,False,True,False,False,False,31.072217
,,,,,,,,,,,,False,False,False,False,True,False,False,28.742414
,,,,,,,,,,,,True,False,False,False,False,False,False,36.523683
,,,,,,,,,,,,False,False,False,True,False,False,False,36.471512
,,,,,,,,,,,,False,True,False,False,False,False,False,39.241114
,,,,,,,,,,,,False,True,False,False,False,False,False,45.328074
,,,,,,,,,,,,True,False,False,False,False,False,False,26.734515
,,,,,,,,,,,,False,False,False,False,True,False,False,54.850917
,,,,,,,,,,,,True,False,False,False,False,False,False,37.136863
,,,,,,,,,,,,False,False,False,False,False,False,True,34.139765
,,,,,,,,,,,,False,False,False,False,False,True,False,30.313351
,,,,,,,,,,,,False,False,False,False,False,True,False,40.105965
,,,,,,,,,,,,False,True,False,False,False,False,False,29.924285
,,,,,,,,,,,,True,False,False,False,False,False,False,40.69232
,,,,,,,,,,,,False,True,False,False,False,False,False,59.642837
,,,,,,,,,,,,False,True,False,False,False,False,False,30.450843
,,,,,,,,,,,,False,True,False,False,False,False,False,37.840594
,,,,,,,,,,,,True,False,False,False,False,False,False,41.50354
,,,,,,,,,,,,False,False,False,True,False,False,False,60.756112
,,,,,,,,,,,,False,True,False,False,False,False,False,63.005645
,,,,,,,,,,,,False,False,False,False,True,False,False,49.511874
,,,,,,,,,,,,False,False,False,False,True,False,False,39.259197
,,,,,,,,,,,,False,False,False,False,True,False,False,39.7034
,,,,,,,,,,,,False,False,False,False,True,False,True,55.333142
,,,,,,,,,,,,False,True,False,False,False,False,False,41.998933
,,,,,,,,,,,,True,False,False,False,False,False,False,40.560159
,,,,,,,,,,,,False,True,False,False,False,False,False,68.235885
,,,,,,,,,,,,False,False,False,False,False,True,False,74.472949
,,,,,,,,,,,,False,True,False,False,False,False,False,72.801787
,,,,,,,,,,,,False,False,True,False,False,False,False,31.230054
,,,,,,,,,,,,False,False,True,False,False,False,False,53.131324
,,,,,,,,,,,,False,False,True,False,False,False,False,59.363993
,,,,,,,,,,,,False,True,False,False,False,False,False,38.839746
,,,,,,,,,,,,False,True,False,False,False,False,False,28.592785
,,,,,,,,,,,,False,False,True,False,False,False,False,46.658844
,,,,,,,,,,,,True,False,False,False,False,False,False,39.106174
,,,,,,,,,,,,True,False,False,False,False,False,False,27.753301
,,,,,,,,,,,,True,False,False,False,False,False,False,49.787445
,,,,,,,,,,,,True,False,False,False,False,False,False,51.592193
,,,,,,,,,,,,True,False,False,False,False,False,False,36.187559
,,,,,,,,,,,,False,False,False,False,False,True,False,
,,,,,,,,,,,,True,False,False,False,False,False,False,
,,,,,,,,,,,,True,False,False,False,False,False,False,
